phase_pair,phase_pair_order,transition,n_places,active_total_places,transition_rate_active,total_places_all,apparent_absence_continue_excluded
Pa->Jo,1,continue,634,3906,0.16231438812083973,5628,1722
Pa->Jo,1,drop,60,3906,0.015360983102918587,5628,1722
Pa->Jo,1,new,3212,3906,0.8223246287762417,5628,1722
Jo->Ya,2,continue,549,3944,0.13919878296146046,5628,1684
Jo->Ya,2,drop,3297,3944,0.8359533468559838,5628,1684
Jo->Ya,2,new,98,3944,0.02484787018255578,5628,1684
Ya->Ko,3,continue,358,1928,0.18568464730290457,5628,3700
Ya->Ko,3,drop,289,1928,0.14989626556016597,5628,3700
Ya->Ko,3,new,1281,1928,0.6644190871369294,5628,3700
Ko->Na,4,continue,651,2693,0.24173783884144076,5628,2935
Ko->Na,4,drop,988,2693,0.3668770887486075,5628,2935
Ko->Na,4,new,1054,2693,0.39138507240995174,5628,2935
Na->He,5,continue,1485,2394,0.6203007518796992,5628,3234
Na->He,5,drop,220,2394,0.091896407685881365,5628,3234
Na->He,5,new,689,2394,0.2878028404344194,5628,3234
He->Me,6,continue,571,2627,0.21735820327369623,5628,3001
He->Me,6,drop,1603,2627,0.6102017510468215,5628,3001
He->Me,6,new,453,2627,0.1724400456794823,5628,3001
