place_id,phase_code,presence,phase_order,next_phase_code,next_phase_order,next_presence,transition,phase_pair,phase_pair_order
13101000200,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101000200,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101000200,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101000200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101000200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101000200,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101000300,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101000300,Jo,0,2,Ya,3,1,new,Jo->Ya,2
13101000300,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101000300,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101000300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101000300,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101000400,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101000400,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101000400,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101000400,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101000400,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101000400,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101000500,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101000500,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101000500,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101000500,Ko,0,4,Na,5,1,new,Ko->Na,4
13101000500,Na,1,5,He,6,1,continue,Na->He,5
13101000500,He,1,6,Me,7,0,drop,He->Me,6
13101000600,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13101000600,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13101000600,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101000600,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101000600,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101000600,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101000800,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101000800,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101000800,Ya,1,3,Ko,4,1,continue,Ya->Ko,3
13101000800,Ko,1,4,Na,5,1,continue,Ko->Na,4
13101000800,Na,1,5,He,6,1,continue,Na->He,5
13101000800,He,1,6,Me,7,0,drop,He->Me,6
13101000900,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101000900,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101000900,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101000900,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101000900,Na,0,5,He,6,1,new,Na->He,5
13101000900,He,1,6,Me,7,0,drop,He->Me,6
13101001000,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101001000,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13101001000,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13101001000,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101001000,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101001000,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13101001100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13101001100,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13101001100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13101001100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13101001100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13101001100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
