place_id,run_id,run_index,run_start_phase,run_end_phase,run_start_order,run_end_order,run_length
13101000200,13101000200_R1,1,Jo,Jo,2,2,1
13101000300,13101000300_R1,1,Ya,Ya,3,3,1
13101000400,13101000400_R1,1,Jo,Jo,2,2,1
13101000500,13101000500_R1,1,Na,He,5,6,2
13101000800,13101000800_R1,1,Jo,He,2,6,5
13101000900,13101000900_R1,1,Jo,Ya,2,3,2
13101000900,13101000900_R2,2,He,He,6,6,1
13101001000,13101001000_R1,1,Jo,Ya,2,3,2
13101001100,13101001100_R1,1,Jo,Jo,2,2,1
13101001200,13101001200_R1,1,Jo,Jo,2,2,1
13101001300,13101001300_R1,1,Jo,Jo,2,2,1
13101002100,13101002100_R1,1,Jo,Jo,2,2,1
13101002200,13101002200_R1,1,Pa,Ko,1,4,4
13101002200,13101002200_R2,2,Me,Me,7,7,1
13101004100,13101004100_R1,1,Jo,Ko,2,4,3
13101004100,13101004100_R2,2,Me,Me,7,7,1
13101004200,13101004200_R1,1,Pa,Ya,1,3,3
13101004200,13101004200_R2,2,Me,Me,7,7,1
13101004500,13101004500_R1,1,Ya,Ya,3,3,1
13101004900,13101004900_R1,1,Jo,Ya,2,3,2
13101005100,13101005100_R1,1,Me,Me,7,7,1
13101005300,13101005300_R1,1,Me,Me,7,7,1
13101005500,13101005500_R1,1,Jo,Jo,2,2,1
13101005600,13101005600_R1,1,Jo,Ya,2,3,2
13101005700,13101005700_R1,1,Jo,Jo,2,2,1
13101005800,13101005800_R1,1,Jo,Jo,2,2,1
13101006000,13101006000_R1,1,Jo,Jo,2,2,1
13101006000,13101006000_R2,2,Ko,He,4,6,3
13101006500,13101006500_R1,1,Jo,Jo,2,2,1
13101006600,13101006600_R1,1,Ko,Ko,4,4,1
13101007100,13101007100_R1,1,Jo,Ya,2,3,2
13101007100,13101007100_R2,2,He,He,6,6,1
13101007500,13101007500_R1,1,He,He,6,6,1
13101007800,13101007800_R1,1,Ya,Ya,3,3,1
13101009900,13101009900_R1,1,Jo,Jo,2,2,1
13101010200,13101010200_R1,1,Jo,Ya,2,3,2
13102000100,13102000100_R1,1,Jo,Jo,2,2,1
13102000200,13102000200_R1,1,Me,Me,7,7,1
13102000300,13102000300_R1,1,Me,Me,7,7,1
13102007700,13102007700_R1,1,Jo,Me,2,7,6
13103000100,13103000100_R1,1,Jo,Jo,2,2,1
13103000200,13103000200_R1,1,Jo,Ya,2,3,2
13103000300,13103000300_R1,1,Jo,Jo,2,2,1
13103000500,13103000500_R1,1,Jo,Ko,2,4,3
13103000700,13103000700_R1,1,Me,Me,7,7,1
13103000900,13103000900_R1,1,Pa,Jo,1,2,2
13103000900,13103000900_R2,2,Ko,Ko,4,4,1
13103000902,13103000902_R1,1,Jo,Jo,2,2,1
13103001500,13103001500_R1,1,Me,Me,7,7,1
13103001700,13103001700_R1,1,Me,Me,7,7,1
13103001800,13103001800_R1,1,Jo,Jo,2,2,1
13103002300,13103002300_R1,1,Jo,Jo,2,2,1
13103002700,13103002700_R1,1,Ya,Ya,3,3,1
13103002900,13103002900_R1,1,Jo,Ko,2,4,3
13103003000,13103003000_R1,1,Jo,Jo,2,2,1
13103003100,13103003100_R1,1,Jo,Jo,2,2,1
13103003300,13103003300_R1,1,Ko,Ko,4,4,1
13103003700,13103003700_R1,1,Ya,Ya,3,3,1
13103003800,13103003800_R1,1,Jo,Jo,2,2,1
13103003900,13103003900_R1,1,Jo,Jo,2,2,1
13103004000,13103004000_R1,1,Jo,Jo,2,2,1
13103004100,13103004100_R1,1,Jo,Jo,2,2,1
13103004200,13103004200_R1,1,Jo,Jo,2,2,1
13103004300,13103004300_R1,1,Jo,Jo,2,2,1
13103004400,13103004400_R1,1,Jo,Jo,2,2,1
13103004500,13103004500_R1,1,Jo,Jo,2,2,1
13103004600,13103004600_R1,1,Jo,Jo,2,2,1
13103004800,13103004800_R1,1,Jo,Jo,2,2,1
13103005000,13103005000_R1,1,Jo,Jo,2,2,1
13103005100,13103005100_R1,1,Jo,Jo,2,2,1
13103005200,13103005200_R1,1,Na,Na,5,5,1
13103005600,13103005600_R1,1,Ya,Ya,3,3,1
13103006000,13103006000_R1,1,Jo,Ko,2,4,3
13103006000,13103006000_R2,2,He,He,6,6,1
13103006100,13103006100_R1,1,Ko,Ko,4,4,1
13103006400,13103006400_R1,1,Jo,Ya,2,3,2
13103006400,13103006400_R2,2,Na,Me,5,7,3
13103006500,13103006500_R1,1,Jo,Jo,2,2,1
13103006600,13103006600_R1,1,Jo,Jo,2,2,1
13103006700,13103006700_R1,1,Jo,Jo,2,2,1
13103006700,13103006700_R2,2,Me,Me,7,7,1
13103006800,13103006800_R1,1,Jo,Jo,2,2,1
13103006900,13103006900_R1,1,Pa,Ya,1,3,3
13103007000,13103007000_R1,1,Jo,Jo,2,2,1
13103007100,13103007100_R1,1,Ko,Ko,4,4,1
13103007400,13103007400_R1,1,Ya,Ya,3,3,1
13103007500,13103007500_R1,1,Pa,He,1,6,6
13103008700,13103008700_R1,1,Me,Me,7,7,1
13103009900,13103009900_R1,1,Jo,Ko,2,4,3
13103010000,13103010000_R1,1,Jo,He,2,6,5
13103010900,13103010900_R1,1,Na,He,5,6,2
13103011500,13103011500_R1,1,Jo,Ko,2,4,3
13103011500,13103011500_R2,2,Me,Me,7,7,1
13103011800,13103011800_R1,1,Jo,Jo,2,2,1
13103012300,13103012300_R1,1,Ko,Ko,4,4,1
13103013300,13103013300_R1,1,Jo,Jo,2,2,1
13103013300,13103013300_R2,2,Ko,Na,4,5,2
13103014500,13103014500_R1,1,Na,He,5,6,2
13103014901,13103014901_R1,1,Jo,Jo,2,2,1
13103015600,13103015600_R1,1,Jo,Me,2,7,6
13103015900,13103015900_R1,1,Ya,Ko,3,4,2
13103019200,13103019200_R1,1,Jo,Jo,2,2,1
13103021400,13103021400_R1,1,Ko,He,4,6,3
13103022300,13103022300_R1,1,Ya,Ko,3,4,2
13103022300,13103022300_R2,2,Me,Me,7,7,1
13103022500,13103022500_R1,1,Jo,Jo,2,2,1
13104000100,13104000100_R1,1,Jo,Ya,2,3,2
13104000200,13104000200_R1,1,Pa,He,1,6,6
13104000300,13104000300_R1,1,Na,He,5,6,2
13104000400,13104000400_R1,1,Jo,Jo,2,2,1
13104000500,13104000500_R1,1,Jo,Jo,2,2,1
13104000600,13104000600_R1,1,Na,Na,5,5,1
13104000800,13104000800_R1,1,Ko,Ko,4,4,1
13104000800,13104000800_R2,2,He,He,6,6,1
13104001000,13104001000_R1,1,Pa,He,1,6,6
13104001100,13104001100_R1,1,Jo,Jo,2,2,1
13104001400,13104001400_R1,1,Jo,Jo,2,2,1
13104001500,13104001500_R1,1,Pa,Jo,1,2,2
13104001600,13104001600_R1,1,Me,Me,7,7,1
13104001700,13104001700_R1,1,Jo,Na,2,5,4
13104001800,13104001800_R1,1,Jo,Ko,2,4,3
13104001800,13104001800_R2,2,Me,Me,7,7,1
13104002000,13104002000_R1,1,Jo,Jo,2,2,1
13104002700,13104002700_R1,1,Pa,Jo,1,2,2
13104002800,13104002800_R1,1,Me,Me,7,7,1
13104002900,13104002900_R1,1,He,He,6,6,1
13104003500,13104003500_R1,1,Pa,Me,1,7,7
13104003700,13104003700_R1,1,Jo,Jo,2,2,1
13104003800,13104003800_R1,1,Jo,Jo,2,2,1
13104004000,13104004000_R1,1,Jo,Jo,2,2,1
13104004300,13104004300_R1,1,Pa,He,1,6,6
13104004500,13104004500_R1,1,Pa,Pa,1,1,1
13104004900,13104004900_R1,1,Pa,Me,1,7,7
13104005200,13104005200_R1,1,Jo,Ya,2,3,2
13104005200,13104005200_R2,2,Na,Na,5,5,1
13104005400,13104005400_R1,1,Jo,Jo,2,2,1
13104005500,13104005500_R1,1,Jo,Jo,2,2,1
13104005600,13104005600_R1,1,Jo,Jo,2,2,1
13104005900,13104005900_R1,1,Jo,Jo,2,2,1
13104006000,13104006000_R1,1,Pa,Ya,1,3,3
13104006100,13104006100_R1,1,Pa,Jo,1,2,2
13104006100,13104006100_R2,2,He,He,6,6,1
13104006200,13104006200_R1,1,Jo,Jo,2,2,1
13104006500,13104006500_R1,1,Pa,Na,1,5,5
13104006600,13104006600_R1,1,Jo,Ko,2,4,3
13104006700,13104006700_R1,1,Jo,Jo,2,2,1
13104006700,13104006700_R2,2,Me,Me,7,7,1
13104006800,13104006800_R1,1,Pa,Ko,1,4,4
13104006800,13104006800_R2,2,Me,Me,7,7,1
13104006900,13104006900_R1,1,Jo,Jo,2,2,1
13104007300,13104007300_R1,1,Jo,Me,2,7,6
13104007400,13104007400_R1,1,Pa,Pa,1,1,1
13104007700,13104007700_R1,1,Pa,Jo,1,2,2
13104007700,13104007700_R2,2,Ko,He,4,6,3
13104007900,13104007900_R1,1,Pa,He,1,6,6
13104008000,13104008000_R1,1,Pa,Ko,1,4,4
13104008400,13104008400_R1,1,Pa,Jo,1,2,2
13104008500,13104008500_R1,1,Pa,He,1,6,6
13104008800,13104008800_R1,1,Pa,Jo,1,2,2
13104009000,13104009000_R1,1,Jo,Jo,2,2,1
13104009100,13104009100_R1,1,Jo,Jo,2,2,1
13104009300,13104009300_R1,1,Jo,Jo,2,2,1
13104009500,13104009500_R1,1,Pa,Jo,1,2,2
13104009600,13104009600_R1,1,Pa,Jo,1,2,2
13104009700,13104009700_R1,1,Jo,Jo,2,2,1
13104009800,13104009800_R1,1,Jo,Ya,2,3,2
13104009900,13104009900_R1,1,Jo,Jo,2,2,1
13104010000,13104010000_R1,1,Jo,Jo,2,2,1
13104010100,13104010100_R1,1,Pa,Ko,1,4,4
13104010100,13104010100_R2,2,He,Me,6,7,2
13104010300,13104010300_R1,1,Pa,Jo,1,2,2
13104010300,13104010300_R2,2,Na,He,5,6,2
13104010400,13104010400_R1,1,Jo,Jo,2,2,1
13104010700,13104010700_R1,1,Pa,Ko,1,4,4
13104011000,13104011000_R1,1,Pa,Jo,1,2,2
13104011300,13104011300_R1,1,Jo,Jo,2,2,1
13104011400,13104011400_R1,1,Jo,Jo,2,2,1
13104011500,13104011500_R1,1,Jo,Jo,2,2,1
13104011500,13104011500_R2,2,Ko,Ko,4,4,1
13104011500,13104011500_R3,3,Me,Me,7,7,1
13104011600,13104011600_R1,1,Pa,Jo,1,2,2
13104011700,13104011700_R1,1,Jo,Jo,2,2,1
13104012400,13104012400_R1,1,Pa,Jo,1,2,2
13104012400,13104012400_R2,2,Me,Me,7,7,1
13104012500,13104012500_R1,1,Jo,Jo,2,2,1
13104012600,13104012600_R1,1,Jo,Jo,2,2,1
13104012600,13104012600_R2,2,Na,He,5,6,2
13104012700,13104012700_R1,1,Ko,Ko,4,4,1
13104012800,13104012800_R1,1,Jo,Jo,2,2,1
13104012800,13104012800_R2,2,Me,Me,7,7,1
13104013000,13104013000_R1,1,Jo,Jo,2,2,1
13104013000,13104013000_R2,2,Ko,Na,4,5,2
13104013800,13104013800_R1,1,Jo,Na,2,5,4
13104013800,13104013800_R2,2,Me,Me,7,7,1
13104014100,13104014100_R1,1,Pa,Pa,1,1,1
13104014600,13104014600_R1,1,Jo,Jo,2,2,1
13104015100,13104015100_R1,1,Jo,Jo,2,2,1
13104015200,13104015200_R1,1,Ya,Ya,3,3,1
13104015400,13104015400_R1,1,Ko,Ko,4,4,1
13104015600,13104015600_R1,1,Jo,Jo,2,2,1
13104015800,13104015800_R1,1,Pa,Ko,1,4,4
13105000100,13105000100_R1,1,Jo,Jo,2,2,1
13105000100,13105000100_R2,2,Ko,Ko,4,4,1
13105000300,13105000300_R1,1,Jo,Jo,2,2,1
13105000300,13105000300_R2,2,Ko,Ko,4,4,1
13105000300,13105000300_R3,3,Me,Me,7,7,1
13105000400,13105000400_R1,1,Jo,Jo,2,2,1
13105000500,13105000500_R1,1,Jo,Jo,2,2,1
13105000600,13105000600_R1,1,Jo,Jo,2,2,1
13105000700,13105000700_R1,1,Pa,Jo,1,2,2
13105000700,13105000700_R2,2,Ko,Ko,4,4,1
13105000800,13105000800_R1,1,Jo,Jo,2,2,1
13105000900,13105000900_R1,1,Ya,Ya,3,3,1
13105001000,13105001000_R1,1,Ya,Ya,3,3,1
13105001100,13105001100_R1,1,Jo,Ko,2,4,3
13105001200,13105001200_R1,1,Jo,Jo,2,2,1
13105001400,13105001400_R1,1,Pa,Ya,1,3,3
13105001600,13105001600_R1,1,Jo,He,2,6,5
13105001700,13105001700_R1,1,Jo,Jo,2,2,1
13105001800,13105001800_R1,1,Jo,Ya,2,3,2
13105001900,13105001900_R1,1,Jo,Jo,2,2,1
13105002100,13105002100_R1,1,Pa,Jo,1,2,2
13105002200,13105002200_R1,1,Jo,Jo,2,2,1
13105002400,13105002400_R1,1,Jo,Jo,2,2,1
13105002500,13105002500_R1,1,Pa,Ya,1,3,3
13105002600,13105002600_R1,1,Pa,Ya,1,3,3
13105002600,13105002600_R2,2,Na,Na,5,5,1
13105002700,13105002700_R1,1,Jo,Jo,2,2,1
13105002800,13105002800_R1,1,Jo,Ya,2,3,2
13105002801,13105002801_R1,1,Jo,Ya,2,3,2
13105002802,13105002802_R1,1,Jo,Jo,2,2,1
13105002803,13105002803_R1,1,Jo,Ya,2,3,2
13105002804,13105002804_R1,1,Ya,Ya,3,3,1
13105003100,13105003100_R1,1,Jo,Jo,2,2,1
13105003200,13105003200_R1,1,Jo,Ya,2,3,2
13105003300,13105003300_R1,1,Pa,Ya,1,3,3
13105003300,13105003300_R2,2,Na,Me,5,7,3
13105003500,13105003500_R1,1,Jo,Jo,2,2,1
13105003800,13105003800_R1,1,Jo,Jo,2,2,1
13105004000,13105004000_R1,1,Jo,Jo,2,2,1
13105004700,13105004700_R1,1,Pa,Ko,1,4,4
13105004700,13105004700_R2,2,He,He,6,6,1
13105004800,13105004800_R1,1,Pa,Ko,1,4,4
13105004800,13105004800_R2,2,He,He,6,6,1
13105005000,13105005000_R1,1,Pa,Pa,1,1,1
13105005000,13105005000_R2,2,Ya,Ya,3,3,1
13105005100,13105005100_R1,1,Pa,Me,1,7,7
13105005500,13105005500_R1,1,Jo,Jo,2,2,1
13105005600,13105005600_R1,1,Pa,Jo,1,2,2
13105005800,13105005800_R1,1,Jo,Me,2,7,6
13105005900,13105005900_R1,1,Pa,Jo,1,2,2
13105005900,13105005900_R2,2,Na,He,5,6,2
13105006000,13105006000_R1,1,Jo,Jo,2,2,1
13105006000,13105006000_R2,2,Me,Me,7,7,1
13105006200,13105006200_R1,1,Me,Me,7,7,1
13105006500,13105006500_R1,1,Jo,Jo,2,2,1
13105006500,13105006500_R2,2,Me,Me,7,7,1
13105006600,13105006600_R1,1,Jo,Jo,2,2,1
13105006800,13105006800_R1,1,Jo,Jo,2,2,1
13105006800,13105006800_R2,2,He,He,6,6,1
13105006900,13105006900_R1,1,Jo,Jo,2,2,1
13105006900,13105006900_R2,2,Ko,Na,4,5,2
13105007300,13105007300_R1,1,Pa,Ya,1,3,3
13105007300,13105007300_R2,2,Na,Na,5,5,1
13105007300,13105007300_R3,3,Me,Me,7,7,1
13105007400,13105007400_R1,1,Jo,Ya,2,3,2
13105007400,13105007400_R2,2,He,He,6,6,1
13105007800,13105007800_R1,1,Jo,Jo,2,2,1
13105008100,13105008100_R1,1,Jo,Jo,2,2,1
13105008200,13105008200_R1,1,Pa,Jo,1,2,2
13105008400,13105008400_R1,1,Jo,Ya,2,3,2
13105008500,13105008500_R1,1,Jo,Jo,2,2,1
13105008500,13105008500_R2,2,Na,He,5,6,2
13105008600,13105008600_R1,1,Jo,Ya,2,3,2
13105008800,13105008800_R1,1,Jo,Jo,2,2,1
13105008900,13105008900_R1,1,Jo,Jo,2,2,1
13105009000,13105009000_R1,1,Jo,Jo,2,2,1
13105009100,13105009100_R1,1,Ya,Ko,3,4,2
13105009200,13105009200_R1,1,Jo,Jo,2,2,1
13105009302,13105009302_R1,1,Pa,Pa,1,1,1
13105009400,13105009400_R1,1,He,He,6,6,1
13105009500,13105009500_R1,1,Jo,Ya,2,3,2
13105009700,13105009700_R1,1,Pa,Ya,1,3,3
13105009700,13105009700_R2,2,He,He,6,6,1
13105010100,13105010100_R1,1,Ya,Ya,3,3,1
13105010200,13105010200_R1,1,Jo,Ya,2,3,2
13105010300,13105010300_R1,1,Pa,He,1,6,6
13105010700,13105010700_R1,1,Jo,Jo,2,2,1
13105010700,13105010700_R2,2,Ko,Na,4,5,2
13105011300,13105011300_R1,1,Jo,Jo,2,2,1
13105011300,13105011300_R2,2,Ko,Ko,4,4,1
13105011300,13105011300_R3,3,Me,Me,7,7,1
13105011400,13105011400_R1,1,Pa,Jo,1,2,2
13105011500,13105011500_R1,1,Pa,Na,1,5,5
13105011500,13105011500_R2,2,Me,Me,7,7,1
13105011700,13105011700_R1,1,Jo,Ya,2,3,2
