phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_points,moran_i,expectation,variance,statistic,p_value
Pa->Jo,1,continue,634,0.12604373757455267,5030,0.1524921570687603,-1.9884668920262477e-4,4.1621548096218944e-5,23.66760624035026,3.888159136642331e-124
Pa->Jo,1,drop,60,0.011928429423459244,5030,0.06805421169857849,-1.9884668920262477e-4,4.099360276435362e-5,10.660168575051173,7.815692849108346e-27
Pa->Jo,1,new,3212,0.6385685884691849,5030,0.18471532779895442,-1.9884668920262477e-4,4.1660875339914875e-5,28.648771772780517,8.302660258721956e-181
Jo->Ya,2,continue,549,0.10914512922465208,5030,0.15095421377420057,-1.9884668920262477e-4,4.1611547586572615e-5,23.432035191829105,1.0078344476035286e-121
Jo->Ya,2,drop,3297,0.6554671968190855,5030,0.25159843341967547,-1.9884668920262477e-4,4.166008525198814e-5,39.01134801925573,0
Jo->Ya,2,new,98,0.0194831013916501,5030,0.08807502711898735,-1.9884668920262477e-4,4.1262948028970484e-5,13.742066920800417,2.841494378959842e-43
Ya->Ko,3,continue,358,0.07117296222664016,5030,0.14296396963487598,-1.9884668920262477e-4,4.157141577134675e-5,22.204082162366667,1.5681710233521526e-109
Ya->Ko,3,drop,289,0.05745526838966203,5030,0.08065135295316704,-1.9884668920262477e-4,4.1543743669104045e-5,12.543775759151327,2.150042522036246e-36
Ya->Ko,3,new,752,0.14950298210735585,5030,0.15955022725164794,-1.9884668920262477e-4,4.1631604207351904e-5,24.758639495714363,1.2512398452310944e-135
Ko->Na,4,continue,651,0.1294234592445328,5030,0.18472990166707967,-1.9884668920262477e-4,4.1623228343181926e-5,28.663983785758543,5.366227935191962e-181
Ko->Na,4,drop,459,0.09125248508946322,5030,0.1334769834376355,-1.9884668920262477e-4,4.159684178737367e-5,20.72634441064401,1.002251496148818e-95
Ko->Na,4,new,1054,0.2095427435387674,5030,0.22813197690710182,-1.9884668920262477e-4,4.164674789417674e-5,35.38131712841118,1.6546589645308755e-274
Na->He,5,continue,1485,0.2952286282306163,5030,0.2764311662507302,-1.9884668920262477e-4,4.1656952507877526e-5,42.8603338434033,0
Na->He,5,drop,220,0.0437375745526839,5030,0.16007552208594594,-1.9884668920262477e-4,4.1498628426866434e-5,24.87981825825077,6.15260112970574e-137
Na->He,5,new,689,0.13697813121272365,5030,0.2803778284466745,-1.9884668920262477e-4,4.162667676411179e-5,43.48762540589772,0
He->Me,6,continue,571,0.11351888667992048,5030,0.13837028841821053,-1.9884668920262477e-4,4.161442733016309e-5,21.480507855742665,1.184511589356987e-102
He->Me,6,drop,1603,0.3186878727634195,5030,0.23383059465636472,-1.9884668920262477e-4,4.165861406839571e-5,36.259189091647926,3.5598536824009785e-288
He->Me,6,new,385,0.07654075546719682,5030,0.07826535791928597,-1.9884668920262477e-4,4.157953024192955e-5,12.168352648962022,2.291186447594596e-34
