place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,special_site_type_exclusion_reason
13101001400,単独出土地,[中世],0,0,0,0,0,0,1,単独出土地,me_single_phase_exclusive_mound_burial_or_isolated_site_type
13101007300,その他の墓,[中世][近世],0,0,0,0,0,0,1,その他の墓,me_single_phase_exclusive_mound_burial_or_isolated_site_type
13103000800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002501,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002502,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002503,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002504,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002505,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002506,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002507,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002508,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002509,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103002800,横穴墓,[古墳時代],0,0,0,1,0,0,0,横穴墓,ko_single_phase_exclusive_mortuary_site_type
13103003600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103004900,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103005400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103005700,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13103018300,その他の墓,中世、近世,0,0,0,0,0,0,1,その他の墓,me_single_phase_exclusive_mound_burial_or_isolated_site_type
13105000200,古墳,[古墳時代？],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13105001300,古墳,[古墳時代？],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13105001500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13105002000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13105002300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13105003700,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13106000300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13106000500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13106000900,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13106001300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13106001400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13109001800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13109001900,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13109002000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13110001800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13110002500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111000800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111000900,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001100,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001200,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001700,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111001900,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002100,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002200,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111002800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111003000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111003300,墳墓,[中世],0,0,0,0,0,0,1,墳墓,me_single_phase_exclusive_mound_burial_or_isolated_site_type
13111003500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111003600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111003800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005000,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005100,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005200,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005500,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111005600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111008300,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111008600,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111009002,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111009003,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111009400,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111009700,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111009800,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111010100,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
13111010700,塚,[中世],0,0,0,0,0,0,1,塚,me_single_phase_exclusive_mound_burial_or_isolated_site_type
13111011200,古墳,[古墳時代],0,0,0,1,0,0,0,古墳,ko_single_phase_exclusive_mortuary_site_type
