place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13104003500,baseline,0.35,0.4,0.25,1,1,563,TRUE
13104004900,baseline,0.35,0.4,0.25,1,1,563,TRUE
13105005100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13106000401,baseline,0.35,0.4,0.25,1,1,563,TRUE
13106000408,baseline,0.35,0.4,0.25,1,1,563,TRUE
13110000300,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112000300,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112001800,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112005200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112010500,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112010700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112011700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13112015900,baseline,0.35,0.4,0.25,1,1,563,TRUE
13117000500,baseline,0.35,0.4,0.25,1,1,563,TRUE
13117002700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119003300,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119004000,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119004200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119006300,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119009900,baseline,0.35,0.4,0.25,1,1,563,TRUE
13119010100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13120001000,baseline,0.35,0.4,0.25,1,1,563,TRUE
13120013000,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201016400,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201016600,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201024100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201039300,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201041800,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201042100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201043500,baseline,0.35,0.4,0.25,1,1,563,TRUE
13201074700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13204003100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13204004800,baseline,0.35,0.4,0.25,1,1,563,TRUE
13205010900,baseline,0.35,0.4,0.25,1,1,563,TRUE
13205011600,baseline,0.35,0.4,0.25,1,1,563,TRUE
13209006100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13209008400,baseline,0.35,0.4,0.25,1,1,563,TRUE
13209010000,baseline,0.35,0.4,0.25,1,1,563,TRUE
13209010200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13209029500,baseline,0.35,0.4,0.25,1,1,563,TRUE
13212002200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13213000700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13213001700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13213003800,baseline,0.35,0.4,0.25,1,1,563,TRUE
13219004201,baseline,0.35,0.4,0.25,1,1,563,TRUE
13221007700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13224006200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13224008000,baseline,0.35,0.4,0.25,1,1,563,TRUE
13225001400,baseline,0.35,0.4,0.25,1,1,563,TRUE
13225004200,baseline,0.35,0.4,0.25,1,1,563,TRUE
13225012700,baseline,0.35,0.4,0.25,1,1,563,TRUE
13228009100,baseline,0.35,0.4,0.25,1,1,563,TRUE
13102007700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13103007500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13103015600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104000200,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104001000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104004300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104007300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104007900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13104008500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13105005800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13105010300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13105012900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13105013800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13106007500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13112003000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13112028800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117000400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117000800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117001900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117003000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117003200,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13117004100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119003900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119005700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119005800,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119007900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119008300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119009400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119010400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119013300,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13119017500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13120008900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13122001500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201010100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201012900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201013900,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201014500,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201015700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201016700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201024600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201035600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201051700,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201073400,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201085000,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201089600,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
13201091100,baseline,0.35,0.4,0.25,0.8571428571428571,53,563,TRUE
