scheme,group_id,group_label,activity_domain,n_places,median_presence_phase_count,median_longest_run_length,gap_place_rate,median_gap_count,median_continuity_index,median_intermittency_index,analysis_status
unit_basin,B_unknown_0,unknown / basin 0,all_land_use,446,1,1,0.1031390134529148,0,0.14285714285714285,0,eligible
unit_basin,B_830306_20,鶴見川 / basin 20,all_land_use,367,2,2,0.5258855585831063,1,0.2857142857142857,0.2,eligible
unit_basin,B_140013_17,境川 / basin 17,all_land_use,241,3,2,0.5684647302904564,1,0.3535714285714286,0.2,eligible
unit_basin,B_830305_22,多摩川 / basin 22,all_land_use,241,2,1,0.4605809128630705,0,0.2017857142857143,0,eligible
unit_basin,B_830305_30,多摩川 / basin 30,all_land_use,240,2,1.5,0.49166666666666664,0,0.2857142857142857,0,eligible
unit_basin,B_830305_23,多摩川 / basin 23,all_land_use,217,2,1,0.48847926267281105,0,0.2857142857142857,0,eligible
unit_basin,B_830305_28,多摩川 / basin 28,all_land_use,217,3,2,0.6036866359447005,1,0.35,0.4,eligible
unit_basin,B_830306_16,鶴見川 / basin 16,all_land_use,157,2,2,0.40764331210191085,0,0.2857142857142857,0,eligible
unit_basin,B_830305_19,多摩川 / basin 19,all_land_use,133,1,1,0.14285714285714285,0,0.14285714285714285,0,eligible
unit_basin,B_830305_18,多摩川 / basin 18,all_land_use,126,2,2,0.4126984126984127,0,0.2857142857142857,0,eligible
unit_basin,B_830305_17,多摩川 / basin 17,all_land_use,121,2,1,0.48760330578512395,0,0.20476190476190476,0,eligible
unit_basin,B_830304_86,荒川 / basin 86,all_land_use,111,2,1,0.5315315315315315,1,0.2017857142857143,0.2,eligible
unit_basin,B_830305_36,多摩川 / basin 36,all_land_use,91,1,1,0.2967032967032967,0,0.14285714285714285,0,eligible
unit_basin,B_830306_21,鶴見川 / basin 21,all_land_use,82,2,1.5,0.524390243902439,1,0.2857142857142857,0.2,eligible
unit_basin,B_830305_46,多摩川 / basin 46,all_land_use,81,1,1,0.3333333333333333,0,0.14285714285714285,0,eligible
unit_basin,B_830304_52,荒川 / basin 52,all_land_use,80,2,1,0.275,0,0.19999999999999998,0,eligible
unit_basin,B_830305_35,多摩川 / basin 35,all_land_use,76,3,2,0.6578947368421053,1,0.29642857142857143,0.3333333333333333,eligible
unit_basin,B_830305_2,多摩川 / basin 2,all_land_use,75,1,1,0.02666666666666667,0,0.14285714285714285,0,eligible
unit_basin,B_830304_67,荒川 / basin 67,all_land_use,72,1,1,0.05555555555555555,0,0.14285714285714285,0,eligible
unit_basin,B_830304_68,荒川 / basin 68,all_land_use,72,2,1,0.4166666666666667,0,0.19999999999999998,0,eligible
unit_basin,B_830304_54,荒川 / basin 54,all_land_use,70,1,1,0.12857142857142856,0,0.14285714285714285,0,eligible
unit_basin,B_830304_80,荒川 / basin 80,all_land_use,68,1,1,0.04411764705882353,0,0.14285714285714285,0,eligible
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,65,2,2,0.24615384615384617,0,0.2857142857142857,0,eligible
unit_basin,B_830305_12,多摩川 / basin 12,all_land_use,65,1,1,0.23076923076923078,0,0.14285714285714285,0,eligible
unit_basin,B_130000_5,名称不明 / basin 5,all_land_use,64,2,2,0.21875,0,0.2857142857142857,0,eligible
unit_basin,B_830304_57,荒川 / basin 57,all_land_use,64,2,1,0.234375,0,0.20773809523809522,0,eligible
unit_basin,B_830305_10,多摩川 / basin 10,all_land_use,64,1,1,0.3125,0,0.14285714285714285,0,eligible
unit_basin,B_830305_40,多摩川 / basin 40,all_land_use,64,3,2,0.625,1,0.35178571428571426,0.25,eligible
unit_basin,B_830305_56,多摩川 / basin 56,all_land_use,64,1,1,0.046875,0,0.14285714285714285,0,eligible
unit_basin,B_830305_43,多摩川 / basin 43,all_land_use,63,1,1,0.3968253968253968,0,0.14285714285714285,0,eligible
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,60,2,2,0.38333333333333336,0,0.2857142857142857,0,eligible
unit_basin,B_830304_70,荒川 / basin 70,all_land_use,60,2,1,0.2833333333333333,0,0.21071428571428572,0,eligible
unit_basin,B_830305_14,多摩川 / basin 14,all_land_use,54,2,1,0.2962962962962963,0,0.21071428571428572,0,eligible
unit_basin,B_830305_33,多摩川 / basin 33,all_land_use,52,1,1,0.2692307692307692,0,0.14285714285714285,0,eligible
unit_basin,B_830305_8,多摩川 / basin 8,all_land_use,51,1,1,0.17647058823529413,0,0.14285714285714285,0,eligible
unit_basin,B_130000_4,名称不明 / basin 4,all_land_use,47,1,1,0.23404255319148937,0,0.14285714285714285,0,eligible
unit_basin,B_830305_3,多摩川 / basin 3,all_land_use,46,1,1,0.06521739130434782,0,0.14285714285714285,0,eligible
unit_basin,B_830305_34,多摩川 / basin 34,all_land_use,46,1,1,0.21739130434782608,0,0.14285714285714285,0,eligible
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,44,2,1,0.20454545454545456,0,0.21071428571428572,0,eligible
unit_basin,B_830304_82,荒川 / basin 82,all_land_use,43,1,1,0.37209302325581395,0,0.14285714285714285,0,eligible
unit_basin,B_830304_61,荒川 / basin 61,all_land_use,42,2,2,0.19047619047619047,0,0.2857142857142857,0,eligible
unit_basin,B_830304_55,荒川 / basin 55,all_land_use,38,2.5,2.5,0.10526315789473684,0,0.3571428571428571,0,eligible
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,35,2,2,0.2,0,0.2857142857142857,0,eligible
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,33,1,1,0.15151515151515152,0,0.14285714285714285,0,eligible
unit_basin,B_830305_13,多摩川 / basin 13,all_land_use,33,1,1,0.21212121212121213,0,0.14285714285714285,0,eligible
unit_basin,B_830305_20,多摩川 / basin 20,all_land_use,33,1,1,0.24242424242424243,0,0.14285714285714285,0,eligible
unit_basin,B_830304_69,荒川 / basin 69,all_land_use,32,1,1,0.1875,0,0.14285714285714285,0,eligible
unit_basin,B_830306_19,鶴見川 / basin 19,all_land_use,32,1,1,0.34375,0,0.14285714285714285,0,eligible
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,31,2,2,0.0967741935483871,0,0.2857142857142857,0,eligible
unit_basin,B_830304_88,荒川 / basin 88,all_land_use,31,1,1,0.3225806451612903,0,0.14285714285714285,0,eligible
unit_basin,B_830305_25,多摩川 / basin 25,all_land_use,30,1,1,0.3,0,0.14285714285714285,0,eligible
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,27,1,1,0.18518518518518517,0,0.14285714285714285,0,eligible
unit_basin,B_830305_42,多摩川 / basin 42,all_land_use,26,1,1,0.15384615384615385,0,0.14285714285714285,0,eligible
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,25,1,1,0.12,0,0.14285714285714285,0,eligible
unit_basin,B_830304_83,荒川 / basin 83,all_land_use,25,3,2,0.76,1,0.35,0.3333333333333333,eligible
unit_basin,B_830305_48,多摩川 / basin 48,all_land_use,25,2,1,0.52,1,0.2017857142857143,0.25,eligible
unit_basin,B_130000_1,名称不明 / basin 1,all_land_use,24,2,1.5,0.08333333333333333,0,0.24821428571428572,0,eligible
unit_basin,B_140013_19,境川 / basin 19,all_land_use,24,2,1.5,0.5416666666666666,1,0.2857142857142857,0.225,eligible
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,24,2.5,2,0.20833333333333334,0,0.28928571428571426,0,eligible
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,24,2,1.5,0.16666666666666666,0,0.2857142857142857,0,eligible
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,21,1,1,0.14285714285714285,0,0.14285714285714285,0,eligible
unit_basin,B_830304_56,荒川 / basin 56,all_land_use,21,3,2,0.38095238095238093,0,0.42857142857142855,0,eligible
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,20,1,1,0.25,0,0.14285714285714285,0,eligible
unit_basin,B_830305_5,多摩川 / basin 5,all_land_use,20,1,1,0.05,0,0.14285714285714285,0,eligible
unit_basin,B_830305_75,多摩川 / basin 75,all_land_use,19,1,1,0.42105263157894735,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_87,荒川 / basin 87,all_land_use,18,1,1,0.2777777777777778,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_62,多摩川 / basin 62,all_land_use,17,1,1,0.4117647058823529,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_44,多摩川 / basin 44,all_land_use,16,2,1,0.5625,1,0.21071428571428572,0.25,low_n_descriptive_only
