sequence_string_7digit,dominant_subcluster_id
0000001,SC1_sub1
0000010,SC1_sub2
0000011,SC1_sub2
0000100,SC1_sub2
0000101,SC1_sub2
0000110,SC1_sub2
0000111,SC1_sub2
0001000,SC1_sub3
0001001,SC1_sub3
0001010,SC1_sub2
0001011,SC1_sub2
0001100,SC1_sub2
0001101,SC1_sub2
0001110,SC1_sub2
0001111,SC1_sub2
0010001,SC1_sub1
0010011,SC1_sub1
0010110,SC1_sub2
0010111,SC1_sub2
0011000,SC1_sub3
0011001,SC1_sub3
0011100,SC1_sub2
0011110,SC1_sub2
0011111,SC1_sub2
0100000,SC1_sub4
0100001,SC1_sub4
0100010,SC1_sub4
0100011,SC1_sub4
0100100,SC1_sub4
0100101,SC1_sub4
0100110,SC1_sub4
0100111,SC1_sub4
0101000,SC1_sub4
0101001,SC1_sub4
0101010,SC1_sub4
0101011,SC1_sub4
0101100,SC1_sub4
0101101,SC1_sub4
0101110,SC1_sub4
0101111,SC1_sub4
0110000,SC1_sub4
0110001,SC1_sub4
0110010,SC1_sub4
0110011,SC1_sub4
0110100,SC1_sub4
0110110,SC1_sub4
0110111,SC1_sub4
0111000,SC1_sub4
0111001,SC1_sub4
0111010,SC1_sub4
0111011,SC1_sub4
0111100,SC1_sub4
0111101,SC1_sub4
0111110,SC1_sub4
0111111,SC1_sub4
1000000,SC1_sub5
1000010,SC1_sub2
1000100,SC1_sub2
1000110,SC1_sub2
1000111,SC1_sub2
1001000,SC1_sub5
1001001,SC1_sub5
1001110,SC1_sub2
1001111,SC1_sub2
1100000,SC1_sub4
1100001,SC1_sub4
1100010,SC1_sub4
1100011,SC1_sub4
1100100,SC1_sub4
1100101,SC1_sub4
1100110,SC1_sub4
1100111,SC1_sub4
1101000,SC1_sub4
1101001,SC1_sub4
1101010,SC1_sub4
1101011,SC1_sub4
1101100,SC1_sub4
1101101,SC1_sub4
1101110,SC1_sub4
1101111,SC1_sub4
1110000,SC1_sub4
1110001,SC1_sub4
1110010,SC1_sub4
1110011,SC1_sub4
1110100,SC1_sub4
1110101,SC1_sub4
1110110,SC1_sub4
1110111,SC1_sub4
1111000,SC1_sub4
1111001,SC1_sub4
1111010,SC1_sub4
1111011,SC1_sub4
1111100,SC1_sub4
1111101,SC1_sub4
1111110,SC1_sub4
1111111,SC1_sub4
