phase_pair,phase_pair_order,transition,n_places,active_total_places,active_transition_composition,total_places_all_states,apparent_absence_continue_excluded
Pa->Jo,1,continue,634,3906,0.16231438812083973,5624,1718
Pa->Jo,1,drop,60,3906,0.015360983102918587,5624,1718
Pa->Jo,1,new,3212,3906,0.8223246287762417,5624,1718
Jo->Ya,2,continue,549,3944,0.13919878296146046,5624,1680
Jo->Ya,2,drop,3297,3944,0.8359533468559838,5624,1680
Jo->Ya,2,new,98,3944,0.02484787018255578,5624,1680
Ya->Ko,3,continue,358,1926,0.18587746625129803,5624,3698
Ya->Ko,3,drop,289,1926,0.15005192107995846,5624,3698
Ya->Ko,3,new,1279,1926,0.6640706126687436,5624,3698
Ko->Na,4,continue,651,2691,0.241917502787068,5624,2933
Ko->Na,4,drop,986,2691,0.3664065403195838,5624,2933
Ko->Na,4,new,1054,2691,0.3916759568933482,5624,2933
Na->He,5,continue,1485,2394,0.6203007518796992,5624,3230
Na->He,5,drop,220,2394,0.091896407685881365,5624,3230
Na->He,5,new,689,2394,0.2878028404344194,5624,3230
He->Me,6,continue,571,2626,0.21744097486671743,5624,2998
He->Me,6,drop,1603,2626,0.6104341203351105,5624,2998
He->Me,6,new,452,2626,0.17212490479817213,5624,2998
