sequence_cluster_id,phase_code,phase_order,n_places,presence_rate
SC0_no_presence,Pa,1,145,0
SC0_no_presence,Jo,2,145,0
SC0_no_presence,Ya,3,145,0
SC0_no_presence,Ko,4,145,0
SC0_no_presence,Na,5,145,0
SC0_no_presence,He,6,145,0
SC0_no_presence,Me,7,145,0
SC1,Pa,1,5428,0.12730287398673545
SC1,Jo,2,5428,0.7085482682387619
SC1,Ya,3,5428,0.10980103168754606
SC1,Ko,4,5428,0.30158437730287396
SC1,Na,5,5428,0.3141120117907148
SC1,He,6,5428,0.40051584377302873
SC1,Me,7,5428,0.18846720707442888
SC2,Pa,1,51,0.058823529411764705
SC2,Jo,2,51,0
SC2,Ya,3,51,1
SC2,Ko,4,51,0
SC2,Na,5,51,0
SC2,He,6,51,0
SC2,Me,7,51,0
