scheme,group_id,group_label,n_places
watersystem,WS_120000,120000 / 名称不明,1
watersystem,WS_130000,130000 / 名称不明,176
watersystem,WS_140013,140013 / 境川,266
watersystem,WS_830303,830303 / 利根川,59
watersystem,WS_830304,830304 / 荒川,1306
watersystem,WS_830305,830305 / 多摩川,2718
watersystem,WS_830306,830306 / 鶴見川,652
watersystem,WS_unknown,unknown / unknown,446
unit_basin,B_120000_6,名称不明 / basin 6,1
unit_basin,B_130000_1,名称不明 / basin 1,24
unit_basin,B_130000_2,名称不明 / basin 2,6
unit_basin,B_130000_3,名称不明 / basin 3,13
unit_basin,B_130000_4,名称不明 / basin 4,47
unit_basin,B_130000_5,名称不明 / basin 5,64
unit_basin,B_130000_6,名称不明 / basin 6,20
unit_basin,B_130000_8,名称不明 / basin 8,2
unit_basin,B_140013_16,境川 / basin 16,1
unit_basin,B_140013_17,境川 / basin 17,241
unit_basin,B_140013_19,境川 / basin 19,24
unit_basin,B_830303_345,利根川 / basin 345,1
unit_basin,B_830303_347,利根川 / basin 347,8
unit_basin,B_830303_388,利根川 / basin 388,1
unit_basin,B_830303_389,利根川 / basin 389,2
unit_basin,B_830303_390,利根川 / basin 390,2
unit_basin,B_830303_393,利根川 / basin 393,6
unit_basin,B_830303_425,利根川 / basin 425,1
unit_basin,B_830303_426,利根川 / basin 426,5
unit_basin,B_830303_427,利根川 / basin 427,9
unit_basin,B_830303_432,利根川 / basin 432,2
unit_basin,B_830303_470,利根川 / basin 470,1
unit_basin,B_830303_478,利根川 / basin 478,10
unit_basin,B_830303_517,利根川 / basin 517,11
unit_basin,B_830304_105,荒川 / basin 105,1
unit_basin,B_830304_11,荒川 / basin 11,5
unit_basin,B_830304_120,荒川 / basin 120,60
unit_basin,B_830304_139,荒川 / basin 139,11
unit_basin,B_830304_14,荒川 / basin 14,1
unit_basin,B_830304_15,荒川 / basin 15,8
unit_basin,B_830304_158,荒川 / basin 158,2
unit_basin,B_830304_16,荒川 / basin 16,14
unit_basin,B_830304_161,荒川 / basin 161,3
unit_basin,B_830304_167,荒川 / basin 167,4
unit_basin,B_830304_18,荒川 / basin 18,1
unit_basin,B_830304_194,荒川 / basin 194,7
unit_basin,B_830304_25,荒川 / basin 25,35
unit_basin,B_830304_26,荒川 / basin 26,44
unit_basin,B_830304_27,荒川 / basin 27,24
unit_basin,B_830304_36,荒川 / basin 36,2
unit_basin,B_830304_37,荒川 / basin 37,33
unit_basin,B_830304_38,荒川 / basin 38,27
unit_basin,B_830304_39,荒川 / basin 39,21
unit_basin,B_830304_40,荒川 / basin 40,25
unit_basin,B_830304_42,荒川 / basin 42,31
unit_basin,B_830304_44,荒川 / basin 44,1
unit_basin,B_830304_47,荒川 / basin 47,65
unit_basin,B_830304_51,荒川 / basin 51,7
unit_basin,B_830304_52,荒川 / basin 52,80
unit_basin,B_830304_53,荒川 / basin 53,8
unit_basin,B_830304_54,荒川 / basin 54,70
unit_basin,B_830304_55,荒川 / basin 55,38
unit_basin,B_830304_56,荒川 / basin 56,21
unit_basin,B_830304_57,荒川 / basin 57,64
unit_basin,B_830304_61,荒川 / basin 61,42
unit_basin,B_830304_63,荒川 / basin 63,3
unit_basin,B_830304_67,荒川 / basin 67,72
unit_basin,B_830304_68,荒川 / basin 68,72
unit_basin,B_830304_69,荒川 / basin 69,32
unit_basin,B_830304_70,荒川 / basin 70,60
unit_basin,B_830304_77,荒川 / basin 77,3
unit_basin,B_830304_79,荒川 / basin 79,11
