sequence_string_7digit,Pa,Jo,Ya,Ko,Na,He,Me,n_places
0000000,0,0,0,0,0,0,0,145
0000001,0,0,0,0,0,0,1,261
0000010,0,0,0,0,0,1,0,187
0000011,0,0,0,0,0,1,1,13
0000100,0,0,0,0,1,0,0,28
0000101,0,0,0,0,1,0,1,1
0000110,0,0,0,0,1,1,0,193
0000111,0,0,0,0,1,1,1,27
0001000,0,0,0,1,0,0,0,599
0001001,0,0,0,1,0,0,1,6
0001010,0,0,0,1,0,1,0,4
0001011,0,0,0,1,0,1,1,2
0001100,0,0,0,1,1,0,0,100
0001101,0,0,0,1,1,0,1,2
0001110,0,0,0,1,1,1,0,39
0001111,0,0,0,1,1,1,1,16
0010000,0,0,1,0,0,0,0,48
0010001,0,0,1,0,0,0,1,2
0010011,0,0,1,0,0,1,1,1
0010110,0,0,1,0,1,1,0,6
0010111,0,0,1,0,1,1,1,1
0011000,0,0,1,1,0,0,0,18
0011001,0,0,1,1,0,0,1,3
0011100,0,0,1,1,1,0,0,3
0011110,0,0,1,1,1,1,0,8
0011111,0,0,1,1,1,1,1,5
0100000,0,1,0,0,0,0,0,1442
0100001,0,1,0,0,0,0,1,76
0100010,0,1,0,0,0,1,0,234
0100011,0,1,0,0,0,1,1,51
0100100,0,1,0,0,1,0,0,18
0100101,0,1,0,0,1,0,1,9
0100110,0,1,0,0,1,1,0,469
0100111,0,1,0,0,1,1,1,132
0101000,0,1,0,1,0,0,0,111
0101001,0,1,0,1,0,0,1,19
0101010,0,1,0,1,0,1,0,44
0101011,0,1,0,1,0,1,1,14
0101100,0,1,0,1,1,0,0,20
0101101,0,1,0,1,1,0,1,5
0101110,0,1,0,1,1,1,0,127
0101111,0,1,0,1,1,1,1,76
0110000,0,1,1,0,0,0,0,87
0110001,0,1,1,0,0,0,1,2
0110010,0,1,1,0,0,1,0,21
0110011,0,1,1,0,0,1,1,6
0110100,0,1,1,0,1,0,0,2
0110110,0,1,1,0,1,1,0,36
0110111,0,1,1,0,1,1,1,20
0111000,0,1,1,1,0,0,0,51
0111001,0,1,1,1,0,0,1,11
0111010,0,1,1,1,0,1,0,17
0111011,0,1,1,1,0,1,1,6
0111100,0,1,1,1,1,0,0,7
0111101,0,1,1,1,1,0,1,3
0111110,0,1,1,1,1,1,0,54
0111111,0,1,1,1,1,1,1,42
1000000,1,0,0,0,0,0,0,46
1000010,1,0,0,0,0,1,0,1
1000100,1,0,0,0,1,0,0,1
1000110,1,0,0,0,1,1,0,4
1000111,1,0,0,0,1,1,1,1
1001000,1,0,0,1,0,0,0,1
1001001,1,0,0,1,0,0,1,1
1001110,1,0,0,1,1,1,0,1
1001111,1,0,0,1,1,1,1,1
1010000,1,0,1,0,0,0,0,3
1100000,1,1,0,0,0,0,0,190
1100001,1,1,0,0,0,0,1,27
1100010,1,1,0,0,0,1,0,43
1100011,1,1,0,0,0,1,1,9
1100100,1,1,0,0,1,0,0,3
1100101,1,1,0,0,1,0,1,1
1100110,1,1,0,0,1,1,0,41
1100111,1,1,0,0,1,1,1,45
1101000,1,1,0,1,0,0,0,23
1101001,1,1,0,1,0,0,1,6
1101010,1,1,0,1,0,1,0,5
1101011,1,1,0,1,0,1,1,4
1101100,1,1,0,1,1,0,0,3
1101101,1,1,0,1,1,0,1,1
1101110,1,1,0,1,1,1,0,22
1101111,1,1,0,1,1,1,1,27
1110000,1,1,1,0,0,0,0,28
1110001,1,1,1,0,0,0,1,5
1110010,1,1,1,0,0,1,0,3
1110011,1,1,1,0,0,1,1,2
1110100,1,1,1,0,1,0,0,1
1110101,1,1,1,0,1,0,1,1
1110110,1,1,1,0,1,1,0,6
1110111,1,1,1,0,1,1,1,8
1111000,1,1,1,1,0,0,0,13
1111001,1,1,1,1,0,0,1,6
1111010,1,1,1,1,0,1,0,12
1111011,1,1,1,1,0,1,1,10
1111100,1,1,1,1,1,0,0,7
1111101,1,1,1,1,1,0,1,4
1111110,1,1,1,1,1,1,0,26
1111111,1,1,1,1,1,1,1,52
