model_id,k,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_points,n_apparent_absence_continue_excluded,analysis_universe,moran_i,expectation,variance,statistic,p_value
transition_Pa_Jo_knn_k4,4,Pa->Jo,1,continue,634,0.16231438812083973,3906,1718,active_transition_only_excluding_0to0,0.17859916744810153,-2.5608194622279127e-4,1.0491096516048369e-4,17.461890075501323,1.3976208232806396e-68
transition_Pa_Jo_knn_k4,4,Pa->Jo,1,drop,60,0.015360983102918587,3906,1718,active_transition_only_excluding_0to0,0.08803621986149195,-2.5608194622279127e-4,1.0333018267235655e-4,8.685788310963996,1.880623900026808e-18
transition_Pa_Jo_knn_k4,4,Pa->Jo,1,new,3212,0.8223246287762417,3906,1718,active_transition_only_excluding_0to0,0.20033264520036437,-2.5608194622279127e-4,1.0492469433336443e-4,19.582478850865314,1.0907103841487028e-85
transition_Jo_Ya_knn_k4,4,Jo->Ya,2,continue,549,0.13919878296146046,3944,1680,active_transition_only_excluding_0to0,0.20542676845780194,-2.53613999492772e-4,1.0392417453001884e-4,20.17597724404316,7.959305358195543e-91
transition_Jo_Ya_knn_k4,4,Jo->Ya,2,drop,3297,0.8359533468559838,3944,1680,active_transition_only_excluding_0to0,0.2687693079859496,-2.53613999492772e-4,1.0395198819302373e-4,26.38595913004806,9.929230230865558e-154
transition_Jo_Ya_knn_k4,4,Jo->Ya,2,new,98,0.02484787018255578,3944,1680,active_transition_only_excluding_0to0,0.19413316474357656,-2.53613999492772e-4,1.0305501650276848e-4,19.14838515415462,4.991740932716216e-82
transition_Ya_Ko_knn_k4,4,Ya->Ko,3,continue,358,0.18587746625129803,1926,3698,active_transition_only_excluding_0to0,0.15013035183811388,-5.194805194805195e-4,2.0643618605077876e-4,10.485176351852163,5.0528477445710297e-26
transition_Ya_Ko_knn_k4,4,Ya->Ko,3,drop,289,0.15005192107995846,1926,3698,active_transition_only_excluding_0to0,0.18876353852234223,-5.194805194805195e-4,2.0630368419197152e-4,13.178262753213254,5.852765872971538e-40
transition_Ya_Ko_knn_k4,4,Ya->Ko,3,new,1279,0.6640706126687436,1926,3698,active_transition_only_excluding_0to0,0.2809845959548402,-5.194805194805195e-4,2.0666465727331836e-4,19.581753632092166,1.1063511795645456e-85
transition_Ko_Na_knn_k4,4,Ko->Na,4,continue,651,0.241917502787068,2691,2933,active_transition_only_excluding_0to0,0.18511664881006637,-3.717472118959108e-4,1.4930382424217602e-4,15.180332349033959,2.3867846984528167e-52
transition_Ko_Na_knn_k4,4,Ko->Na,4,drop,986,0.3664065403195838,2691,2933,active_transition_only_excluding_0to0,0.4286753092378584,-3.717472118959108e-4,1.49367468092609e-4,35.105641789710454,2.764396114688984e-270
transition_Ko_Na_knn_k4,4,Ko->Na,4,new,1054,0.3916759568933482,2691,2933,active_transition_only_excluding_0to0,0.4591297217056429,-3.717472118959108e-4,1.4937360971053933e-4,37.596720691160776,1.215953808396597e-309
transition_Na_He_knn_k4,4,Na->He,5,continue,1485,0.6203007518796992,2394,3230,active_transition_only_excluding_0to0,0.3665243138070397,-4.178854993731718e-4,1.6928449426764254e-4,28.202594908933477,2.7172100230571427e-175
transition_Na_He_knn_k4,4,Na->He,5,drop,220,0.091896407685881365,2394,3230,active_transition_only_excluding_0to0,0.3533621037553416,-4.178854993731718e-4,1.6873666368916356e-4,27.235072485700428,1.2485660728580627e-163
transition_Na_He_knn_k4,4,Na->He,5,new,689,0.2878028404344194,2394,3230,active_transition_only_excluding_0to0,0.39378362490960256,-4.178854993731718e-4,1.6923968055899944e-4,30.301713349903107,5.441440803985743e-202
transition_He_Me_knn_k4,4,He->Me,6,continue,571,0.21744097486671743,2626,2998,active_transition_only_excluding_0to0,0.14879347230077145,-3.8095238095238096e-4,1.544620046986093e-4,12.002826765364167,1.716826475206441e-33
transition_He_Me_knn_k4,4,He->Me,6,drop,1603,0.6104341203351105,2626,2998,active_transition_only_excluding_0to0,0.24022837572381034,-3.8095238095238096e-4,1.5456051111982757e-4,19.353663588043627,9.492748816298608e-84
transition_He_Me_knn_k4,4,He->Me,6,new,452,0.17212490479817213,2626,2998,active_transition_only_excluding_0to0,0.24088274339515434,-3.8095238095238096e-4,1.543947785742734e-4,19.416711230668277,2.787381364027786e-84
transition_Pa_Jo_knn_k8,8,Pa->Jo,1,continue,634,0.16231438812083973,3906,1718,active_transition_only_excluding_0to0,0.15281186401202998,-2.5608194622279127e-4,5.3609251841657874e-5,20.905683984138964,2.376687816463901e-97
transition_Pa_Jo_knn_k8,8,Pa->Jo,1,drop,60,0.015360983102918587,3906,1718,active_transition_only_excluding_0to0,0.0821110535619001,-2.5608194622279127e-4,5.280147480257435e-5,11.33524564778088,4.389272222729603e-30
transition_Pa_Jo_knn_k8,8,Pa->Jo,1,new,3212,0.8223246287762417,3906,1718,active_transition_only_excluding_0to0,0.17431665426698983,-2.5608194622279127e-4,5.361626742457454e-5,23.841201081230835,6.247502728503709e-126
transition_Jo_Ya_knn_k8,8,Jo->Ya,2,continue,549,0.13919878296146046,3944,1680,active_transition_only_excluding_0to0,0.18764374631996542,-2.53613999492772e-4,5.3053041767423174e-5,25.796782050227513,4.8179148051637525e-147
transition_Jo_Ya_knn_k8,8,Jo->Ya,2,drop,3297,0.8359533468559838,3944,1680,active_transition_only_excluding_0to0,0.24836358715115026,-2.53613999492772e-4,5.3067240591048445e-5,34.12855653363373,1.3910842298424983e-255
transition_Jo_Ya_knn_k8,8,Jo->Ya,2,new,98,0.02484787018255578,3944,1680,active_transition_only_excluding_0to0,0.15228290666365937,-2.53613999492772e-4,5.26093381988119e-5,21.030152242584123,1.7376667114748254e-98
transition_Ya_Ko_knn_k8,8,Ya->Ko,3,continue,358,0.18587746625129803,1926,3698,active_transition_only_excluding_0to0,0.15683169046859533,-5.194805194805195e-4,1.0422004883139451e-4,15.413254274048223,6.666260863595936e-54
transition_Ya_Ko_knn_k8,8,Ya->Ko,3,drop,289,0.15005192107995846,1926,3698,active_transition_only_excluding_0to0,0.15659455622262847,-5.194805194805195e-4,1.0415315513273189e-4,15.394967336454847,8.845691203301828e-54
transition_Ya_Ko_knn_k8,8,Ya->Ko,3,new,1279,0.6640706126687436,1926,3698,active_transition_only_excluding_0to0,0.2616641753102076,-5.194805194805195e-4,1.0433539276129276e-4,25.66786741103326,1.335678253170052e-145
transition_Ko_Na_knn_k8,8,Ko->Na,4,continue,651,0.241917502787068,2691,2933,active_transition_only_excluding_0to0,0.15821619625704922,-3.717472118959108e-4,7.567466786602441e-5,18.230345756502643,1.4822052029613328e-74
