activity_domain,assignment_status,evidence_source,n_assignments
general_activity,incompatible,SiteType,507
general_activity,present,ArchaeologicalFeatures_tagged,1614
general_activity,present,SiteType_unique_compatible_phase,340
general_activity,present,ArchaeologicalFeatures_single_observed_phase,9
general_activity,temporally_ambiguous,SiteType,1317
general_activity,temporally_ambiguous,ArchaeologicalFeatures_tagged,17
institutional,incompatible,SiteType,259
institutional,present,SiteType_unique_compatible_phase,155
institutional,present,ArchaeologicalFeatures_single_observed_phase,3
institutional,present,ArchaeologicalFeatures_tagged,1
institutional,temporally_ambiguous,SiteType,49
monument,incompatible,SiteType,134
monument,present,SiteType_unique_compatible_phase,727
monument,present,ArchaeologicalFeatures_tagged,189
monument,present,ArchaeologicalFeatures_single_observed_phase,179
monument,temporally_ambiguous,SiteType,6
production,incompatible,SiteType,16
production,present,ArchaeologicalFeatures_tagged,105
production,present,SiteType_unique_compatible_phase,82
production,present,ArchaeologicalFeatures_single_observed_phase,1
production,temporally_ambiguous,SiteType,18
