activity_domain,phase_code,domain_status,domain_resolution,n_records
general_activity,He,apparent_absence,resolved,4346
general_activity,He,present_general_default,resolved,1659
general_activity,He,present_general_explicit,resolved,378
general_activity,He,excluded_specialized_only,resolved,77
general_activity,He,temporally_ambiguous_due_to_specialized,temporally_unresolved,52
general_activity,He,temporally_ambiguous_general_candidate,temporally_unresolved,8
general_activity,Jo,present_general_default,resolved,3091
general_activity,Jo,apparent_absence,resolved,2674
general_activity,Jo,present_general_explicit,resolved,755
general_activity,Ko,apparent_absence,resolved,4881
general_activity,Ko,present_general_default,resolved,688
general_activity,Ko,excluded_specialized_only,resolved,642
general_activity,Ko,present_general_explicit,resolved,278
general_activity,Ko,temporally_ambiguous_general_candidate,temporally_unresolved,22
general_activity,Ko,temporally_ambiguous_due_to_specialized,temporally_unresolved,9
general_activity,Me,apparent_absence,resolved,5496
general_activity,Me,present_general_default,resolved,700
general_activity,Me,excluded_specialized_only,resolved,170
general_activity,Me,present_general_explicit,resolved,94
general_activity,Me,temporally_ambiguous_general_candidate,temporally_unresolved,35
general_activity,Me,temporally_ambiguous_due_to_specialized,temporally_unresolved,25
general_activity,Na,apparent_absence,resolved,4815
general_activity,Na,present_general_default,resolved,1543
general_activity,Na,present_general_explicit,resolved,96
general_activity,Na,temporally_ambiguous_due_to_specialized,temporally_unresolved,58
general_activity,Na,excluded_specialized_only,resolved,5
general_activity,Na,temporally_ambiguous_general_candidate,temporally_unresolved,3
general_activity,Pa,apparent_absence,resolved,5826
general_activity,Pa,present_general_default,resolved,684
general_activity,Pa,present_general_explicit,resolved,10
general_activity,Ya,apparent_absence,resolved,5873
general_activity,Ya,present_general_default,resolved,479
general_activity,Ya,present_general_explicit,resolved,151
general_activity,Ya,temporally_ambiguous_general_candidate,temporally_unresolved,13
general_activity,Ya,excluded_specialized_only,resolved,3
general_activity,Ya,temporally_ambiguous_due_to_specialized,temporally_unresolved,1
institutional,He,apparent_absence,resolved,4346
institutional,He,no_positive_domain_evidence,resolved,2120
institutional,He,temporally_ambiguous,temporally_unresolved,49
institutional,He,present,resolved,5
institutional,Jo,no_positive_domain_evidence,resolved,3846
institutional,Jo,apparent_absence,resolved,2674
institutional,Ko,apparent_absence,resolved,4881
institutional,Ko,no_positive_domain_evidence,resolved,1639
institutional,Me,apparent_absence,resolved,5496
institutional,Me,no_positive_domain_evidence,resolved,859
institutional,Me,present,resolved,142
institutional,Me,temporally_ambiguous,temporally_unresolved,23
institutional,Na,apparent_absence,resolved,4815
institutional,Na,no_positive_domain_evidence,resolved,1653
institutional,Na,temporally_ambiguous,temporally_unresolved,47
institutional,Na,present,resolved,5
institutional,Pa,apparent_absence,resolved,5826
institutional,Pa,no_positive_domain_evidence,resolved,694
institutional,Ya,apparent_absence,resolved,5873
institutional,Ya,no_positive_domain_evidence,resolved,647
monument,He,apparent_absence,resolved,4346
monument,He,no_positive_domain_evidence,resolved,2174
monument,Jo,no_positive_domain_evidence,resolved,3846
monument,Jo,apparent_absence,resolved,2674
monument,Ko,apparent_absence,resolved,4881
monument,Ko,no_positive_domain_evidence,resolved,949
monument,Ko,present,resolved,686
monument,Ko,temporally_ambiguous,temporally_unresolved,4
monument,Me,apparent_absence,resolved,5496
monument,Me,no_positive_domain_evidence,resolved,948
monument,Me,present,resolved,72
monument,Me,temporally_ambiguous,temporally_unresolved,4
monument,Na,apparent_absence,resolved,4815
monument,Na,no_positive_domain_evidence,resolved,1705
monument,Pa,apparent_absence,resolved,5826
monument,Pa,no_positive_domain_evidence,resolved,694
monument,Ya,apparent_absence,resolved,5873
monument,Ya,no_positive_domain_evidence,resolved,606
monument,Ya,present,resolved,40
monument,Ya,temporally_ambiguous,temporally_unresolved,1
production,He,apparent_absence,resolved,4346
production,He,no_positive_domain_evidence,resolved,2065
production,He,present,resolved,97
production,He,temporally_ambiguous,temporally_unresolved,12
production,Jo,no_positive_domain_evidence,resolved,3846
production,Jo,apparent_absence,resolved,2674
production,Ko,apparent_absence,resolved,4881
production,Ko,no_positive_domain_evidence,resolved,1624
production,Ko,temporally_ambiguous,temporally_unresolved,8
production,Ko,present,resolved,7
production,Me,apparent_absence,resolved,5496
production,Me,no_positive_domain_evidence,resolved,1001
production,Me,present,resolved,16
production,Me,temporally_ambiguous,temporally_unresolved,7
production,Na,apparent_absence,resolved,4815
production,Na,no_positive_domain_evidence,resolved,1685
production,Na,temporally_ambiguous,temporally_unresolved,12
production,Na,present,resolved,8
production,Pa,apparent_absence,resolved,5826
production,Pa,no_positive_domain_evidence,resolved,694
production,Ya,apparent_absence,resolved,5873
production,Ya,no_positive_domain_evidence,resolved,647
