normalized_token,n_records,n_open_parenthesis,n_close_parenthesis,balanced_parentheses
その他の墓,107,0,0,TRUE
墓地,32,0,0,TRUE
武家屋敷跡,11,0,0,TRUE
屋敷(武家屋敷),10,1,1,TRUE
その他(幕府御用地),9,1,1,TRUE
上水道,9,0,0,TRUE
屋敷(武家),9,1,1,TRUE
その他(上水路跡),7,1,1,TRUE
その他(道路),7,1,1,TRUE
墓地跡,7,0,0,TRUE
大名屋敷跡,7,0,0,TRUE
その他(板碑出土地),6,1,1,TRUE
地下式横穴,6,0,0,TRUE
大名屋敷,6,0,0,TRUE
墓跡,5,0,0,TRUE
その他(軍施設),4,1,1,TRUE
上水路跡,4,0,0,TRUE
屋敷(大名屋敷),4,1,1,TRUE
その他(水路),3,1,1,TRUE
屋敷(大名),3,1,1,TRUE
屋敷(武家・町屋),3,1,1,TRUE
屋敷(武家屋敷・町屋),3,1,1,TRUE
武家屋敷,3,0,0,TRUE
繋飼場,3,0,0,TRUE
その他(上水施設),2,1,1,TRUE
その他(上水木樋),2,1,1,TRUE
その他(上水道),2,1,1,TRUE
その他(下水道),2,1,1,TRUE
その他(井戸),2,1,1,TRUE
その他(台場跡),2,1,1,TRUE
その他(堀),2,1,1,TRUE
その他(寺院・境内),2,1,1,TRUE
その他(庭園),2,1,1,TRUE
その他(町屋・農村地),2,1,1,TRUE
その他(町屋・道路跡),2,1,1,TRUE
その他(石垣),2,1,1,TRUE
その他(護岸盛土),2,1,1,TRUE
その他(護岸石垣),2,1,1,TRUE
その他(道),2,1,1,TRUE
その他(道路跡),2,1,1,TRUE
その他(邸宅),2,1,1,TRUE
その他(門前町),2,1,1,TRUE
上水跡,2,0,0,TRUE
台場跡,2,0,0,TRUE
屋敷(町屋・武家屋敷),2,1,1,TRUE
屋敷跡(武家地・町地),2,1,1,TRUE
:,1,0,0,TRUE
[近世]町屋,1,0,0,TRUE
その他(上水跡),1,1,1,TRUE
その他(下水跡),1,1,1,TRUE
その他(井戸・麹室),1,1,1,TRUE
その他(低湿地),1,1,1,TRUE
その他(入堀),1,1,1,TRUE
その他(刑場跡),1,1,1,TRUE
その他(医療刑務所),1,1,1,TRUE
その他(台場),1,1,1,TRUE
その他(土手),1,1,1,TRUE
その他(城郭石垣),1,1,1,TRUE
その他(堀の護岸),1,1,1,TRUE
その他(塚?),1,1,1,TRUE
その他(墓地),1,1,1,TRUE
その他(大縄地),1,1,1,TRUE
その他(学校),1,1,1,TRUE
その他(宿場),1,1,1,TRUE
その他(幕府御用地・近代軍用地),1,1,1,TRUE
その他(旧制女子学習院),1,1,1,TRUE
その他(明地),1,1,1,TRUE
その他(暗渠下水),1,1,1,TRUE
その他(東海道護岸),1,1,1,TRUE
その他(武家屋敷),1,1,1,TRUE
その他(武家屋敷跡),1,1,1,TRUE
その他(水場),1,1,1,TRUE
その他(水田・墓地),1,1,1,TRUE
その他(水路石垣),1,1,1,TRUE
その他(池跡),1,1,1,TRUE
その他(河岸 堀),1,1,1,TRUE
その他(河岸),1,1,1,TRUE
その他(河川護岸・河岸),1,1,1,TRUE
その他(溝),1,1,1,TRUE
その他(火除地・公園地),1,1,1,TRUE
その他(環濠),1,1,1,TRUE
その他(瓦塔),1,1,1,TRUE
その他(用水 軍施設),1,1,1,TRUE
その他(町地),1,1,1,TRUE
その他(町地・大下水・道路),1,1,1,TRUE
その他(町屋・道),1,1,1,TRUE
その他(町屋・道路),1,1,1,TRUE
その他(町屋屋敷),1,1,1,TRUE
その他(町屋敷、入堀),1,1,1,TRUE
その他(石組溝),1,1,1,TRUE
その他(砲台跡),1,1,1,TRUE
その他(祭祀),1,1,1,TRUE
その他(祭祀遺構),1,1,1,TRUE
その他(粘土採掘坑・水場遺構),1,1,1,TRUE
その他(花卉園),1,1,1,TRUE
その他(草庵跡),1,1,1,TRUE
その他(蔵地),1,1,1,TRUE
その他(蔵屋敷・発電所),1,1,1,TRUE
その他(製紙所跡),1,1,1,TRUE
その他(護岸石積),1,1,1,TRUE
その他(護岸跡),1,1,1,TRUE
その他(近代),1,1,1,TRUE
その他(近代海軍用地),1,1,1,TRUE
その他(道路・水路),1,1,1,TRUE
その他(道路水路),1,1,1,TRUE
その他(鉄道築堤及び関連施設),1,1,1,TRUE
その他(鉄道関連遺構),1,1,1,TRUE
その他(関所),1,1,1,TRUE
その他(陣屋),1,1,1,TRUE
その他(陸軍火薬製造所跡、庭園),1,1,1,TRUE
その他(離宮跡),1,1,1,TRUE
上水施設,1,0,0,TRUE
丘陵,1,0,0,TRUE
丘陵斜面,1,0,0,TRUE
修法壇跡か塚,1,0,0,TRUE
古墳?塚,1,0,0,TRUE
古銭出土地,1,0,0,TRUE
台地,1,0,0,TRUE
台場もしくは塚,1,0,0,TRUE
地下式土壙,1,0,0,TRUE
地下式土壙群,1,0,0,TRUE
地下式壙,1,0,0,TRUE
堀,1,0,0,TRUE
堀跡,1,0,0,TRUE
塚?古墳,1,0,0,TRUE
塚or古墳,1,0,0,TRUE
外堀護岸石垣,1,0,0,TRUE
大井戸,1,0,0,TRUE
大名墓所,1,0,0,TRUE
大名用地,1,0,0,TRUE
大名藩邸跡,1,0,0,TRUE
学問所跡,1,0,0,TRUE
屋敷(武家屋敷跡),1,1,1,TRUE
屋敷(町地),1,1,1,TRUE
屋敷跡(武家地),1,1,1,TRUE
屋敷跡(武家屋敷・堀跡),1,1,1,TRUE
幕府御用地,1,0,0,TRUE
庭園,1,0,0,TRUE
柵跡,1,0,0,TRUE
波除石垣,1,0,0,TRUE
洞穴(祭祀),1,1,1,TRUE
溜池等跡,1,0,0,TRUE
火葬墓,1,0,0,TRUE
町人地跡,1,0,0,TRUE
町屋(屋敷),1,1,1,TRUE
石橋,1,0,0,TRUE
窯跡(江戸瓦窯),1,1,1,TRUE
近衛歩兵第一第二連隊竹橋陣営,1,0,0,TRUE
道路,1,0,0,TRUE
道路跡,1,0,0,TRUE
陸軍省,1,0,0,TRUE
