JASID,自治体コード,遺跡番号,城址名,episode,ふりがな,遺跡名,経度,緯度
13105004700,13105,47,本郷城,2巻第10話「務めて本郷城」※中世城館遺跡登録なし,ほんごうだいいせきぐん,本郷台遺跡群,139.7634819,35.71205684
13112008800,13112,88,世田谷城,1巻第1話「踊る世田谷城」,せたがやじょうせき,世田谷城跡,139.6476,35.64749
13112016700,13112,167,奥沢城,1巻第12話「想う奥沢城」,おくさわじょうあと,奥沢城跡,139.6609159,35.60826729
13113006600,13113,66,渋谷城,2巻8話「衆い渋谷城」,しぶやじょう,渋谷城,139.7065244,35.65755713
13115004800,13115,48,成宗城,1巻第6話「言ってこーよ成宗城」,やくらだいいせき,矢倉台遺跡,139.6295329,35.69541052
13118000600,13118,6,石浜城,1巻第2話「惑う石浜城」,いしはまじょう,石浜城,139.8075732,35.73077263
13120013000,13120,130,練馬城,3巻第13話「遊ぶ練馬城」,ねりまじょうあと,練馬城跡,139.6458275,35.74255871
13201004200,13201,42,八王子城,3巻第14話「望む八王子城」,はちおうじじょうあと,八王子城跡,139.253375,35.65333468
13208002300,13208,23,深大寺城,1巻第3話「徒らになる深大寺城」,じんだいじしろやまいせき,深大寺城山遺跡,139.5504021,35.66519745
13212002700,13212,27,平山城,2巻第9話「ときめく高幡城」,ひらやまたておよびひらやまじょうあと,平山館及平山城跡,139.3827162,35.64463801
13212003300,13212,33,高幡城,2巻第9話「ときめく高幡城」,たかはたじょうあと,高幡城址,139.4101513,35.66011184
13101000100,13101,1,江戸城,1巻第4話「出でる江戸城」,えどじょうあと,江戸城跡,139.757489,35.68619003
13201052100,13201,521,平山城,2巻第9話「ときめく高幡城」,ひらやまじょうあと,平山城跡,139.3817438,35.64092476
13103001700,13103,17,番神山城,3巻第15話「文化で祭りだ江戸の城」,おおたどうかんしろあと,太田道灌城跡,139.7431469,35.66328836
13117001500,13117,15,稲付城,1巻第5話「久しく遠い稲付城」※中世城館遺跡登録なし,いねつけじょうあと,稲付城跡,139.7193629,35.77558484
13109000800,13109,8,御殿山城,3巻第15話「文化で祭りだ江戸の城」 ※中世城館遺跡登録なし,ごてんやまいせき,御殿山遺跡,139.7337182,35.62050855
13104001600,13104,16,筑土城,3巻第15話「文化で祭りだ江戸の城」,つくどじょうあと,筑土城跡,139.7404739,35.7038249
13104002800,13104,28,太田道灌別館,3巻第15話「文化で祭りだ江戸の城」,おおたどうかんべっかんごてんやまいせき,太田道灌別館御殿山遺跡,139.7394096,35.70404793
13206000000,13206,0,分倍河原古戦場,3巻17話「紀す分倍河原古戦場」,,※遺跡登録範囲外,139.4636025,35.66329264
13206000200,13206,2,高安寺館,3巻17話「紀す分倍河原古戦場」,,※武蔵国府関連遺跡内,139.4713827,35.66930796
,,,,,,,住所,
